order_id,product_id,channel,units,price,discount,shipping_cost,platform_fee,return_flag,category,unit_cost,revenue,cost,profit
O0001,P019,Marketplace,4,57.64,0.01,12.0,11.34,0,Books,120.52,228.2544,505.41999999999996,-277.1655999999999
O0002,P007,Website,1,246.23,0.18,14.95,5.21,0,Fashion,64.33,201.9086,84.49,117.41860000000001
O0003,P009,Website,2,202.91,0.07,6.11,9.97,0,Grocery,89.23,377.41259999999994,194.54000000000002,182.87259999999992
O0004,P007,Website,2,161.69,0.04,19.93,11.93,0,Fashion,64.33,310.4448,160.52,149.92479999999998
O0005,P018,Mobile App,1,114.06,0.02,19.55,13.91,0,Books,105.28,111.7788,138.74,-26.961200000000005
O0006,P004,Website,2,264.39,0.21,13.71,3.52,0,Grocery,46.41,417.7362,110.05,307.6862
O0007,P014,Mobile App,1,123.81,0.1,5.59,5.99,0,Beauty,76.44,111.429,88.02,23.409000000000006
O0008,P018,Mobile App,2,246.81,0.22,14.24,2.29,0,Books,105.28,385.02360000000004,227.09,157.93360000000004
O0009,P009,Website,3,137.35,0.02,3.3,14.89,0,Grocery,89.23,403.80899999999997,285.88,117.92899999999997
O0010,P002,Mobile App,3,119.31,0.09,2.55,13.91,0,Sports,194.13,325.7163,598.8499999999999,-273.1336999999999
O0011,P020,Website,4,144.18,0.16,6.64,8.1,0,Beauty,14.06,484.4448,70.98,413.46479999999997
O0012,P015,Website,3,97.4,0.24,10.33,12.63,0,Books,93.93,222.07200000000003,304.75,-82.67799999999997
O0013,P007,Marketplace,3,226.81,0.1,17.63,7.81,0,Fashion,64.33,612.3870000000001,218.43,393.95700000000005
O0014,P012,Website,3,155.79,0.19,15.09,9.35,0,Grocery,32.2,378.5697,121.04,257.5297
O0015,P008,Website,1,77.34,0.27,15.37,1.34,0,Fashion,107.33,56.4582,124.04,-67.58180000000002
O0016,P015,Mobile App,3,270.88,0.18,9.66,11.33,0,Books,93.93,666.3648000000001,302.78000000000003,363.58480000000003
O0017,P003,Marketplace,3,121.33,0.07,8.23,1.92,0,Fashion,167.33,338.5107,512.14,-173.6293
O0018,P014,Website,4,167.63,0.01,8.68,12.39,0,Beauty,76.44,663.8148,326.83,336.9848
O0019,P017,Mobile App,3,272.88,0.26,19.78,11.73,0,Sports,43.94,605.7936,163.32999999999998,442.4636
O0020,P004,Website,3,191.03,0.01,2.72,10.63,0,Grocery,46.41,567.3591,152.57999999999998,414.7791
O0021,P018,Website,2,43.9,0.26,17.61,0.54,0,Books,105.28,64.972,228.71,-163.738
O0022,P008,Mobile App,4,282.55,0.16,12.42,4.55,0,Fashion,107.33,949.368,446.29,503.07800000000003
O0023,P004,Mobile App,4,192.04,0.28,9.9,3.95,0,Grocery,46.41,553.0752,199.48999999999998,353.5852
O0024,P002,Mobile App,4,107.12,0.24,15.05,5.4,0,Sports,194.13,325.64480000000003,796.9699999999999,-471.3251999999999
O0025,P006,Marketplace,4,50.39,0.3,10.76,1.31,1,Books,40.76,141.09199999999998,175.10999999999999,-34.018
O0026,P010,Social Commerce,4,240.27,0.11,17.72,14.05,1,Home,61.79,855.3612,278.93,576.4312
O0027,P004,Mobile App,4,189.82,0.23,18.21,8.31,0,Grocery,46.41,584.6456,212.16,372.4856
O0028,P018,Website,1,164.7,0.12,9.59,4.58,0,Books,105.28,144.93599999999998,119.45,25.485999999999976
O0029,P012,Marketplace,3,269.23,0.14,6.98,5.95,0,Grocery,32.2,694.6134000000001,109.53000000000002,585.0834000000001
O0030,P002,Website,4,238.69,0.19,12.66,6.71,0,Sports,194.13,773.3556000000001,795.89,-22.53439999999989
O0031,P010,Mobile App,3,53.99,0.26,18.42,9.01,0,Home,61.79,119.8578,212.8,-92.94220000000001
O0032,P004,Website,3,100.4,0.3,5.79,7.74,0,Grocery,46.41,210.84000000000003,152.76,58.08000000000004
O0033,P014,Website,1,82.06,0.23,13.21,13.79,0,Beauty,76.44,63.18620000000001,103.44,-40.25379999999999
O0034,P016,Social Commerce,4,225.74,0.13,13.37,7.45,0,Fashion,158.11,785.5752,653.2600000000001,132.3151999999999
O0035,P015,Marketplace,2,19.72,0.13,15.2,14.88,0,Books,93.93,34.312799999999996,217.94,-183.62720000000002
O0036,P008,Mobile App,1,175.27,0.22,4.37,12.77,0,Fashion,107.33,136.7106,124.47,12.2406
O0037,P014,Mobile App,2,231.11,0.07,14.88,3.13,0,Beauty,76.44,429.8646,170.89,258.9746
O0038,P008,Website,3,264.26,0.03,18.36,13.96,0,Fashion,107.33,768.9966,354.31,414.68659999999994
O0039,P016,Website,3,109.2,0.11,5.23,1.75,0,Fashion,158.11,291.564,481.31000000000006,-189.74600000000004
O0040,P013,Website,1,248.16,0.09,6.28,12.26,0,Beauty,61.97,225.8256,80.51,145.31560000000002
O0041,P018,Mobile App,1,42.08,0.09,19.49,5.71,0,Books,105.28,38.2928,130.48,-92.18719999999999
O0042,P015,Marketplace,2,255.47,0.07,5.26,13.17,0,Books,93.93,475.1742,206.29,268.88419999999996
O0043,P013,Mobile App,4,46.97,0.01,17.38,13.02,0,Beauty,61.97,186.00119999999998,278.28,-92.27879999999999
O0044,P009,Website,2,125.21,0.01,10.86,12.09,0,Grocery,89.23,247.9158,201.41,46.505799999999994
O0045,P015,Social Commerce,1,241.22,0.3,6.45,11.85,0,Books,93.93,168.85399999999998,112.23,56.62399999999998
O0046,P013,Marketplace,2,53.48,0.13,17.67,4.57,1,Beauty,61.97,93.0552,146.18,-53.12480000000001
O0047,P001,Mobile App,1,76.48,0.12,10.02,1.21,0,Grocery,9.01,67.3024,20.240000000000002,47.062400000000004
O0048,P007,Mobile App,2,219.45,0.2,11.27,6.04,0,Fashion,64.33,351.12,145.97,205.15
O0049,P009,Mobile App,1,218.81,0.07,8.47,2.6,1,Grocery,89.23,203.49329999999998,100.3,103.19329999999998
O0050,P001,Website,1,195.93,0.28,12.67,10.42,0,Grocery,9.01,141.0696,32.1,108.96960000000001
O0051,P012,Website,1,211.25,0.24,4.94,5.19,0,Grocery,32.2,160.55,42.33,118.22000000000001
O0052,P008,Marketplace,4,167.39,0.03,9.04,14.63,0,Fashion,107.33,649.4731999999999,452.99,196.4831999999999
O0053,P011,Website,2,83.02,0.13,19.45,9.61,0,Beauty,124.31,144.4548,277.68,-133.2252
O0054,P019,Website,2,110.25,0.26,6.65,12.34,0,Books,120.52,163.17,260.03,-96.85999999999999
O0055,P017,Website,2,62.66,0.28,13.82,1.99,0,Sports,43.94,90.23039999999999,103.68999999999998,-13.459599999999995
O0056,P008,Website,1,273.45,0.14,7.85,12.93,0,Fashion,107.33,235.16699999999997,128.10999999999999,107.05699999999999
O0057,P003,Marketplace,2,179.18,0.18,15.92,13.84,0,Fashion,167.33,293.8552,364.42,-70.56479999999999
O0058,P003,Marketplace,2,126.25,0.05,4.36,7.31,0,Fashion,167.33,239.875,346.33000000000004,-106.45500000000004
